Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7766,0.3815,0.792,0.2699 
2,0.7974,0.233,0.792,0.2206 
3,0.7974,0.2118,0.792,0.2135 
4,0.7974,0.2074,0.792,0.2112 
5,0.7974,0.2057,0.792,0.2102 
6,0.7974,0.2048,0.792,0.2096 
7,0.7974,0.2043,0.792,0.2093 
8,0.7974,0.204,0.792,0.209 
9,0.7974,0.2038,0.792,0.2089 
10,0.7974,0.2036,0.792,0.2087 
11,0.7974,0.2035,0.792,0.2086 
12,0.7974,0.2034,0.792,0.2086 
13,0.7974,0.2033,0.792,0.2085 
14,0.7974,0.2032,0.792,0.2085 
15,0.7974,0.2032,0.792,0.2084 
